2	bal	pre	15	kc	W	18	Fri	8/19/2011
7	cle	pre	10	det	L	-2	Fri	8/19/2011
11	gb	pre	0	ari	W	8	Fri	8/19/2011
13	ind	pre	31	wsh	L	-13	Fri	8/19/2011
14	jax	pre	1	atl	W	2	Fri	8/19/2011
16	mia	pre	4	car	W	10	Fri	8/19/2011
9	den	pre	3	buf	W	14	Sat	8/20/2011
12	hou	pre	19	no	W	13	Sat	8/20/2011
26	sf	pre	22	oak	W	14	Sat	8/20/2011
27	sea	pre	17	min	L	-13	Sat	8/20/2011
28	la	pre	30	ten	W	1	Sat	8/20/2011
8	dal	pre	25	sd	L	-13	Sun	8/21/2011
21	nyj	pre	6	cin	W	20	Sun	8/21/2011
20	nyg	pre	5	chi	W	28	Mon	8/22/2011
2	bal	pre	31	wsh	W	3	Thu	8/25/2011
6	cin	pre	4	car	W	11	Thu	8/25/2011
23	phi	pre	7	cle	W	10	Thu	8/25/2011
13	ind	pre	11	gb	L	-3	Fri	8/26/2011
15	kc	pre	28	la	L	-4	Fri	8/26/2011
0	ari	pre	25	sd	L	-3	Sat	8/27/2011
3	buf	pre	14	jax	W	3	Sat	8/27/2011
9	den	pre	27	sea	W	3	Sat	8/27/2011
10	det	pre	18	ne	W	24	Sat	8/27/2011
17	min	pre	8	dal	L	-6	Sat	8/27/2011
24	pit	pre	1	atl	W	18	Sat	8/27/2011
26	sf	pre	12	hou	L	-23	Sat	8/27/2011
29	tb	pre	16	mia	W	4	Sat	8/27/2011
30	ten	pre	5	chi	W	1	Sat	8/27/2011
22	oak	pre	19	no	L	-20	Sun	8/28/2011
20	nyg	pre	21	nyj	L	-14	Mon	8/29/2011
0	ari	pre	9	den	W	19	Thu	9/1/2011
1	atl	pre	2	bal	L	-14	Thu	9/1/2011
3	buf	pre	10	det	L	-10	Thu	9/1/2011
4	car	pre	24	pit	L	-16	Thu	9/1/2011
5	chi	pre	7	cle	W	10	Thu	9/1/2011
6	cin	pre	13	ind	L	-4	Thu	9/1/2011
11	gb	pre	15	kc	W	1	Thu	9/1/2011
14	jax	pre	28	la	L	-7	Thu	9/1/2011
16	mia	pre	8	dal	W	14	Thu	9/1/2011
17	min	pre	12	hou	W	28	Thu	9/1/2011
18	ne	pre	20	nyg	L	-1	Thu	9/1/2011
19	no	pre	30	ten	L	-23	Thu	9/1/2011
21	nyj	pre	23	phi	L	-10	Thu	9/1/2011
25	sd	pre	26	sf	L	-3	Thu	9/1/2011
31	wsh	pre	29	tb	W	5	Thu	9/1/2011
27	sea	pre	22	oak	W	17	Fri	9/2/2011
11	gb	reg	19	no	W	8	Thu	9/8/2011
0	ari	reg	4	car	W	7	Sun	9/11/2011
2	bal	reg	24	pit	W	28	Sun	9/11/2011
5	chi	reg	1	atl	W	18	Sun	9/11/2011
7	cle	reg	6	cin	L	-10	Sun	9/11/2011
12	hou	reg	13	ind	W	27	Sun	9/11/2011
14	jax	reg	30	ten	W	2	Sun	9/11/2011
15	kc	reg	3	buf	L	-34	Sun	9/11/2011
21	nyj	reg	8	dal	W	3	Sun	9/11/2011
25	sd	reg	17	min	W	7	Sun	9/11/2011
26	sf	reg	27	sea	W	16	Sun	9/11/2011
28	la	reg	23	phi	L	-18	Sun	9/11/2011
29	tb	reg	10	det	L	-7	Sun	9/11/2011
31	wsh	reg	20	nyg	W	14	Sun	9/11/2011
9	den	reg	22	oak	L	-3	Mon	9/12/2011
16	mia	reg	18	ne	L	-14	Mon	9/12/2011
1	atl	reg	23	phi	W	4	Sun	9/18/2011
3	buf	reg	22	oak	W	3	Sun	9/18/2011
4	car	reg	11	gb	L	-7	Sun	9/18/2011
9	den	reg	6	cin	W	2	Sun	9/18/2011
10	det	reg	15	kc	W	45	Sun	9/18/2011
13	ind	reg	7	cle	L	-8	Sun	9/18/2011
16	mia	reg	12	hou	L	-10	Sun	9/18/2011
17	min	reg	29	tb	L	-4	Sun	9/18/2011
18	ne	reg	25	sd	W	14	Sun	9/18/2011
19	no	reg	5	chi	W	17	Sun	9/18/2011
21	nyj	reg	14	jax	W	29	Sun	9/18/2011
24	pit	reg	27	sea	W	24	Sun	9/18/2011
26	sf	reg	8	dal	L	-3	Sun	9/18/2011
30	ten	reg	2	bal	W	13	Sun	9/18/2011
31	wsh	reg	0	ari	W	1	Sun	9/18/2011
